comb,0,4,0.19,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,4,0.321,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,4,0.073,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,4,0.156,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,4,0.16,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,5,0.283,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,4,0.285,0,0,NULL,NULL,NULL,NULL,NULL
comb,16,4,0.515,0,0,NULL,NULL,NULL,NULL,NULL
comb,18,5,0.359,0,0,NULL,NULL,NULL,NULL,NULL
comb,18,5,0.195,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,5,0.139,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,5,0.477,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,5,0.327,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.741,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.379,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.146,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.113,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.165,0,0,NULL,NULL,NULL,NULL,NULL
comb,0,5,0.058,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.129,0,0,NULL,NULL,NULL,NULL,NULL
comb,7,5,0.122,0,0,NULL,NULL,NULL,NULL,NULL
comb,23,5,0.098,0,0,NULL,NULL,NULL,NULL,NULL
comb,23,5,0.134,0,0,NULL,NULL,NULL,NULL,NULL
comb,29,5,0.177,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.135,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.57,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.304,0,0,NULL,NULL,NULL,NULL,NULL
comb,7,5,0.152,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.311,0,0,NULL,NULL,NULL,NULL,NULL
comb,32,5,0.1,0,0,NULL,NULL,NULL,NULL,NULL
NAME=DESKTOP-G4EAACD,75060,comb,297427,4,760440,11175.6,36640,36640,NULL,NULL
SHLVL=0,75060,comb,297427,4,0,14.545,36640,36640,NULL,NULL
OLDPWD=/home/qsl/exp/KPC/cmake-build-debug,75060,comb,297427,4,833123,17.827,36640,36640,NULL,NULL
BASH_ENV=/etc/bash.bashrc,75060,comb,297427,4,833123,23.723,36640,36640,NULL,NULL
